Loading parameters

Initial system energy
-102740.39344255207 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
17.2%	1725000	1624.999999968668	-103023.14049128583	199.71730994812077	133	1:29:50
17.3%	1730000	1629.9999999685497	-102246.49943430908	204.63192784498307	133	1:29:46
17.4%	1735000	1634.9999999684314	-102199.07999468036	198.32690792154133	133	1:29:42
17.4%	1740000	1639.9999999683132	-101988.96796079539	202.3271608842105	133	1:29:39
17.4%	1745000	1644.999999968195	-102392.4609099431	200.27793818231905	133	1:29:35
17.5%	1750000	1649.9999999680767	-102297.15676568169	205.41375305535237	133	1:29:31
17.6%	1755000	1654.9999999679585	-102652.08470760845	198.42212748856204	133	1:29:28
17.6%	1760000	1659.9999999678403	-102387.76083033392	201.3499350529965	133	1:29:24
17.6%	1765000	1664.999999967722	-102277.23022830393	202.84732031523063	133	1:29:21
17.7%	1770000	1669.9999999676038	-102752.84683238855	200.59190667917943	133	1:29:17
17.8%	1775000	1674.9999999674856	-102416.3150110296	200.18328979256057	133	1:29:13
17.8%	1780000	1679.9999999673673	-102762.36145546846	202.2678398055049	133	1:29:09
17.9%	1785000	1684.999999967249	-102539.5652522482	200.59827205252924	133	1:29:06
17.9%	1790000	1689.9999999671309	-102286.49245962268	205.91996055002525	133	1:29:02
17.9%	1795000	1694.9999999670126	-102026.51892872434	200.3896407925138	133	1:28:59
18.0%	1800000	1699.9999999668944	-102776.22118694801	199.41948458498976	133	1:28:55
18.1%	1805000	1704.9999999667762	-102674.58422624506	198.11748259819205	133	1:28:51
