Loading parameters

Initial system energy
-102593.86190879252 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
16.1%	1610000	1509.9999999713873	-103430.89412634121	202.20319441258948	131	1:32:30
16.1%	1615000	1514.999999971269	-103038.81826050766	198.58609097168934	131	1:32:26
16.2%	1620000	1519.9999999711508	-102400.3098361073	201.50058179782292	131	1:32:23
16.2%	1625000	1524.9999999710326	-102463.79281604895	198.49187313947357	131	1:32:19
16.3%	1630000	1529.9999999709144	-102970.24774991674	204.98180236817723	131	1:32:16
16.4%	1635000	1534.9999999707961	-103094.47818477591	199.24886398709216	131	1:32:12
16.4%	1640000	1539.999999970678	-102413.52862893464	198.22171472906288	131	1:32:09
16.4%	1645000	1544.9999999705597	-102819.4706067252	206.00707630268488	131	1:32:06
16.5%	1650000	1549.9999999704414	-102447.52644911874	201.899739369455	131	1:32:02
16.6%	1655000	1554.9999999703232	-102759.696216763	203.3636475745552	131	1:31:59
16.6%	1660000	1559.999999970205	-103414.9136131513	200.22792748462487	131	1:31:56
16.6%	1665000	1564.9999999700867	-102259.5421799738	207.4573941104613	131	1:31:52
16.7%	1670000	1569.9999999699685	-102968.69636715576	202.8039597050339	131	1:31:49
16.8%	1675000	1574.9999999698503	-102485.5441390872	202.81895089770532	131	1:31:45
16.8%	1680000	1579.999999969732	-102994.68717003288	203.5315407739299	131	1:31:42
16.9%	1685000	1584.9999999696138	-102839.25466891937	201.71836993190007	131	1:31:38
16.9%	1690000	1589.9999999694955	-103090.46251366893	198.21240152909954	131	1:31:35
16.9%	1695000	1594.9999999693773	-103106.1326338239	205.18584005110148	131	1:31:31
17.0%	1700000	1599.999999969259	-103103.06261893967	198.5130907524083	131	1:31:28
17.1%	1705000	1604.9999999691408	-101881.13881089119	202.2229381986339	131	1:31:25
17.1%	1710000	1609.9999999690226	-102961.47751686675	202.0410772693101	131	1:31:21
17.1%	1715000	1614.9999999689044	-103007.65651004948	200.1454234227498	131	1:31:18
17.2%	1720000	1619.9999999687861	-102567.38637762098	202.10057498662596	131	1:31:14
17.2%	1725000	1624.999999968668	-102507.69870173186	201.4024293958367	131	1:31:11
17.3%	1730000	1629.9999999685497	-101774.93357792217	204.4106067493696	131	1:31:08
17.4%	1735000	1634.9999999684314	-102579.31235334743	201.668892419502	131	1:31:04
17.4%	1740000	1639.9999999683132	-102464.05842293845	203.77082889543118	131	1:31:01
17.4%	1745000	1644.999999968195	-103357.17855418706	200.30683188455103	131	1:30:58
17.5%	1750000	1649.9999999680767	-102651.64788560336	198.92296026877793	131	1:30:54
17.6%	1755000	1654.9999999679585	-102818.15387171926	202.48093598716818	131	1:30:51
17.6%	1760000	1659.9999999678403	-102846.78090002015	208.01910781273656	131	1:30:47
17.6%	1765000	1664.999999967722	-102916.35927647259	202.45111391646827	131	1:30:44
17.7%	1770000	1669.9999999676038	-102187.53816989157	197.82707848778477	131	1:30:40
17.8%	1775000	1674.9999999674856	-103009.33922623517	203.22840217629536	131	1:30:37
17.8%	1780000	1679.9999999673673	-102421.49842649419	199.76629518392443	131	1:30:33
17.9%	1785000	1684.999999967249	-102330.6649667588	203.64895689459453	131	1:30:30
17.9%	1790000	1689.9999999671309	-103222.62175856344	203.78984996695843	131	1:30:27
17.9%	1795000	1694.9999999670126	-102785.4851518427	202.03889971107137	131	1:30:23
18.0%	1800000	1699.9999999668944	-103231.78643769305	201.38874617516421	131	1:30:20
18.1%	1805000	1704.9999999667762	-102838.13484417181	201.64865378688677	131	1:30:16
